CODE,TYPE,HEADING,LABELS,COST,DETAILS
 B8031700,earrings,Trinity earrings,"white gold, yellow gold, pink gold, diamonds",5600.0,"Trinity earrings, 18K white gold, 18K pink gold, 18K yellow gold, each set with 6 brilliant-cut diamonds totaling 0.08 carat."
 B8045300,earrings,Trinity earrings,"white gold, yellow gold, pink gold, diamonds",5900.0,"Trinity earrings, 18K white gold, 18K rose gold, 18K yellow gold, set 1 brilliant-cut diamonds totaling 0.18 carats. Inner diameter 5.3mm."
 B8017100,earrings,Trinity earrings,"white gold, yellow gold, pink gold",1250.0,"Trinity earrings, 18K white gold, 18K rose gold, 18K yellow gold. Inner diameter 10mm."
 B8301224,earrings,Trinity earrings,"white gold, diamonds, ceramic",8500.0,"Trinity earrings, 18K white gold, black ceramic, set with 28 brilliant-cut diamonds totaling 0.43 carats."
 B8031900,earrings,Trinity earrings,"white gold, yellow gold, pink gold, diamonds",13600.0,"Trinity earrings, 18K white gold, 18K rose gold, 18K yellow gold, each set with 71 brilliant-cut diamonds totaling 0.08 carats. Inner diameter 13.4mm."
 N8500300,earrings,Trinity earrings,"white gold, ceramic, diamonds",13600.0,"Trinity earrings, 18K white gold, black ceramic, each set with 44 brilliant-cut diamonds totaling 0.19 carat."
 N8515098,earrings,Etincelle de Cartier earrings,"pink gold, diamonds",12700.0,"Etincelle de Cartier hoop earrings, medium model, 18K pink gold, each set with 91 brilliant-cut diamonds totaling 0.49 carats."
 N8515101,earrings,Etincelle de Cartier earrings,"white gold, diamonds",7000.0,"Etincelle de Cartier earrings, 18K white gold, each set with 6 brilliant-cut diamonds totaling 0.26 carats."
 B8301215,earrings,Diamants LÃ©gers earrings XS,"yellow gold, diamonds",1060.0,"Diamants LÃ©gers earrings, 18K yellow gold, each set with a brilliant-cut diamond of 0.04 carats."
 B8301213,earrings,Diamants LÃ©gers earrings XS,"white gold, diamonds",1140.0,"Diamants LÃ©gers earrings, 18K white gold, each set with a brilliant-cut diamond of 0.04 carats."
 B8043400,earrings,Saphirs LÃ©gers de Cartier earrings,"pink gold, pink sapphires",1420.0,"Saphirs LÃ©gers de Cartier earrings, 18K pink gold, each set with a pink sapphire."
 B8301405,earrings,Diamants LÃ©gers earrings,"yellow gold, diamonds",1840.0,"Diamants LÃ©gers earrings, 18K yellow gold, each set with a brilliant-cut diamond totaling 0.18 carat."
